"power","Fold_1","Fold_2","Fold_3","Fold_4","Fold_5","Fold_6","Fold_7","Fold_8","Fold_9","Fold_10"
2,0.101425740215935,0.100303239502843,0.0975827542799214,0.100363765005372,0.0988298252282915,0.0997574015901599,0.0994073804636292,0.0992653215970658,0.0985879163409399,0.098594941062648
2.25,0.0885704527582595,0.0875905390057058,0.0853414335219051,0.0878462467440885,0.0864132131374939,0.0872350942101024,0.0870130728690904,0.0867432574556513,0.0863170033840531,0.0860991625123377
2.5,0.0794410790700145,0.0785718710322283,0.076632833260514,0.0789421157350993,0.0775827440683165,0.0783290957862771,0.0782095550923742,0.0778687878538133,0.0775798690251022,0.0772345742353463
2.75,0.0725443598313377,0.0717466097215527,0.0700471522063256,0.072201840830883,0.0709095943224764,0.0715951155455553,0.0715410102948397,0.0711532729655842,0.07097060572278,0.070535338158536
3,0.0671563339053672,0.0664181992493164,0.06489497557961,0.0669227683194341,0.0656901930059403,0.0663304906312109,0.066318387530051,0.065905508434077,0.0657916567986301,0.0652974317538849
3.25,0.0628245608875894,0.0621353975611087,0.060762594148617,0.0626776790791641,0.0615002298112596,0.0621000001591516,0.0621252255464997,0.0616904447924967,0.0616336572088812,0.0610855557995892
3.5,0.0592777300705556,0.058632004108992,0.0573784118420112,0.0592027075344367,0.0580690215842189,0.0586406625548671,0.0586876550900328,0.0582383693311349,0.0582259636337659,0.0576396760883192
3.75,0.0563264914634393,0.0557231169335927,0.0545569115113081,0.0562955127044589,0.0552133346713514,0.0557589436894581,0.0558261126128864,0.0553616679403491,0.055386200660189,0.0547686381077669
4,0.0538302146233997,0.0532554917987016,0.0521722953039384,0.0538419841339667,0.0527984064882571,0.0533211703270905,0.0534013041375456,0.0529311557579967,0.052993558529212,0.0523395581790021
4.25,0.051695954901695,0.0511488474668273,0.0501270794344712,0.0517400644679392,0.0507232045533927,0.0512354986254755,0.0513225832861834,0.0508434586091161,0.0509325455248649,0.0502609947463313
4.5,0.0498404667405606,0.0493225101272667,0.048352844706082,0.0499194298036243,0.0489313047518389,0.0494224240545549,0.0495173234751485,0.0490425199672818,0.0491464569565077,0.0484608562662776
4.75,0.0482209076661225,0.0477186573377178,0.0468123934737657,0.0483277878461529,0.0473629957698763,0.0478409540776955,0.0479412586120742,0.0474571495499984,0.0475877600420678,0.0468814043389055
5,0.0467956904538374,0.0463100058550876,0.0454489513123738,0.046919203062541,0.0459789498181577,0.0464472070121235,0.0465514813748132,0.0460690870375213,0.0462119117366049,0.0454974065254654
5.25,0.0455263886074088,0.0450626434743875,0.0442353111636582,0.0456660535843805,0.0447527934935504,0.0452085773763876,0.045312551578906,0.0448351492889608,0.0449882595780148,0.0442622415490205
5.5,0.0443929993621851,0.0439441573380323,0.0431478598980986,0.0445499001664963,0.0436511325057443,0.0440999084330005,0.0442054622623777,0.0437306684551355,0.0438954341214485,0.0431567215159196
5.75,0.0433679133371011,0.0429342983569916,0.0421707005360676,0.0435368854397682,0.0426593473053074,0.0431019351657674,0.0432066454782925,0.0427375287733294,0.0429109654337453,0.0421620793717968
6,0.0424376253453322,0.0420184781241953,0.0412817207127973,0.0426248255862851,0.0417600172505838,0.0421932646647973,0.0422978064002137,0.0418330526922794,0.042013873391667,0.0412605018172737
